cpu_pct_used,mem_pct_used,swap_pct_used,transient_pct_used,saswork_pct_used,xythosfs_pct_used,workspace_pct_used,high_usage,TotalRecvQ_bytes,TotalSendQ_bytes,usockets_servers,usockets_connections,tcp_active_connections,tcp_inactive_connections,active_https_conn,inactive_https_conn,enP65410s1_rx_packets,enP65410s1_rx_bytes,enP65410s1_tx_packets,enP65410s1_tx_bytes,eth0_rx_packets,eth0_rx_bytes,eth0_tx_packets,eth0_tx_bytes,lo_rx_packets,lo_rx_bytes,lo_tx_packets,lo_tx_bytes,eth1_rx_packets,eth1_rx_bytes,eth1_tx_packets,eth1_tx_bytes,date
5,23.7,98.6,2.4,0.2,58.4,66.3,,50,1218,42,124,259,312,17,9,,,,,4100,2226031,4803,999541,809,291495,809,291495,4473,2306846,4867,1003905,2025-03-24T00:01:07+00:00
2,24,98.6,1.2,0.2,58.4,66.3,,12,624,42,128,265,309,12,9,,,,,439,97550,471,89405,239,127065,239,127065,424,101447,481,90065,2025-03-24T00:03:07+00:00
5,23.8,98.6,1.5,0.2,58.4,66.3,,13,3828,42,114,219,267,11,5,,,,,2354,1070628,2642,429795,204,174779,204,174779,2498,1111951,2673,431797,2025-03-24T00:05:07+00:00
5,23.6,98.6,0.9,0.2,58.4,66.3,,59,394,42,113,183,248,6,4,,,,,550,156542,583,108930,508,187064,508,187064,529,160580,598,109920,2025-03-24T00:07:07+00:00
1,23.3,98.6,0.8,0.2,58.4,66.3,,8,324,42,100,113,195,3,1,,,,,132,17096,140,33476,132,112658,132,112658,123,17603,149,34070,2025-03-24T00:09:07+00:00
7,23.9,98.6,2.9,0.2,58.5,66.3,,10,803,42,118,390,305,34,7,,,,,3754,2080337,4330,851248,1568,1065888,1568,1065888,4155,2158612,4396,855604,2025-03-24T00:11:07+00:00
11,24.1,98.5,2.2,0.2,58.5,66.3,,50,422,42,128,312,323,16,9,,,,,540,123855,559,105517,1211,270586,1211,270586,515,127850,571,106385,2025-03-24T00:13:07+00:00
10,24.1,98.5,2.4,0.2,58.5,66.3,,93,530,42,122,271,315,16,7,,,,,1731,846116,1725,490797,1006,936206,1006,936206,1822,874551,1808,496275,2025-03-24T00:15:07+00:00
6,23.9,98.5,1.2,0.2,58.5,66.3,,16,756,42,124,207,296,7,7,,,,,340,83666,377,84941,551,196826,551,196826,317,84993,390,85799,2025-03-24T00:17:07+00:00
8,23.7,98.5,2.7,0.2,58.5,66.3,,12,540,43,112,212,257,12,5,,,,,293,58104,335,65712,232,123311,232,123311,284,60865,345,66372,2025-03-24T00:19:07+00:00
