cpu_pct_used,mem_pct_used,swap_pct_used,transient_pct_used,saswork_pct_used,xythosfs_pct_used,workspace_pct_used,high_usage,TotalRecvQ_bytes,TotalSendQ_bytes,usockets_servers,usockets_connections,tcp_active_connections,tcp_inactive_connections,active_https_conn,inactive_https_conn,enP65410s1_rx_packets,enP65410s1_rx_bytes,enP65410s1_tx_packets,enP65410s1_tx_bytes,eth0_rx_packets,eth0_rx_bytes,eth0_tx_packets,eth0_tx_bytes,lo_rx_packets,lo_rx_bytes,lo_tx_packets,lo_tx_bytes,eth1_rx_packets,eth1_rx_bytes,eth1_tx_packets,eth1_tx_bytes,date
2,24,89.3,2.4,0.2,60.9,66.9,,12,956,42,116,285,244,21,5,,,,,3066,1400855,3614,722188,376,173819,376,173819,3232,1451101,3649,724516,2025-03-27T00:01:07+00:00
3,24,89.3,1.3,0.2,61,66.9,,12,60076,42,126,284,274,14,7,,,,,182,57547,294,356240,562,204650,562,204650,163,56916,414,364178,2025-03-27T00:03:07+00:00
6,24.2,89.2,1.5,0.2,61,66.9,,15,1432,42,114,222,276,11,5,,,,,723,305697,663,316498,685,174407,685,174407,760,317431,724,320524,2025-03-27T00:05:07+00:00
2,23.8,89.2,0.9,0.2,61,66.9,,56,380,42,116,187,253,5,5,,,,,87,15516,94,30888,98,111260,98,111260,72,14294,104,31548,2025-03-27T00:07:07+00:00
0,23.4,89.2,0.8,0.2,61,66.9,,13,594,42,100,117,197,1,1,,,,,47,4614,44,20970,77,109524,77,109524,37,3827,53,21564,2025-03-27T00:09:07+00:00
10,24.2,89.2,3.7,0.2,61.1,66.9,,1865,2179,42,118,391,307,33,7,,,,,1309,460843,1323,417303,961,581898,961,581898,1354,481930,1377,420867,2025-03-27T00:11:07+00:00
14,24.1,89.2,1.8,0.2,61.1,66.9,,13,816,42,119,326,296,16,6,,,,,819,367627,942,203343,1237,342040,1237,342040,844,378409,964,204881,2025-03-27T00:13:07+00:00
7,24.1,89.2,2.3,0.2,61.2,66.9,,13,540,42,122,264,299,16,5,,,,,1630,759743,1685,500405,1288,1103587,1288,1103587,1695,784742,1755,505025,2025-03-27T00:15:07+00:00
9,24,89.2,1.1,0.2,61.2,66.9,,7,270,42,121,219,285,9,6,,,,,1394,560482,1429,276308,985,1452718,985,1452718,1417,580769,1439,276968,2025-03-27T00:17:07+00:00
7,23.9,89.2,2.7,0.2,61.2,66.9,,49,415,42,112,210,262,9,5,,,,,64,11354,71,29171,221,124483,221,124483,62,12074,81,29831,2025-03-27T00:19:07+00:00
9,23.9,89.2,3.5,0.3,61.2,66.9,,11,573,45,116,237,264,11,5,,,,,803,335669,767,326008,892,192892,892,192892,839,347837,832,330238,2025-03-27T00:21:07+00:00
4,23.8,89.2,1.1,0.2,61.2,66.9,,9,598,42,112,246,248,13,5,,,,,1019,414807,1228,227274,203,123025,203,123025,1054,430636,1238,227934,2025-03-27T00:23:07+00:00
8,23.7,89.2,1.1,0.2,61.2,66.9,,15,724,42,111,207,250,9,4,,,,,413,198605,435,115455,782,282054,782,282054,390,197291,455,116775,2025-03-27T00:25:07+00:00
11,24,89.2,8.3,0.2,61.4,66.9,,60,432,42,112,203,256,10,5,,,,,326,203332,427,62685,186,119759,186,119759,357,208492,437,63345,2025-03-27T00:27:07+00:00
13,24.4,89.2,9.4,0.4,61.4,66.9,,10,432,42,121,173,269,6,8,,,,,70,10270,67,26715,469,148120,469,148120,54,8744,77,27375,2025-03-27T00:29:07+00:00
5,24.1,89.2,3.7,0.4,61.4,66.9,,50,314,45,113,151,219,4,4,,,,,400,1004291,518,65573,116,115023,116,115023,917,1043266,528,66233,2025-03-27T00:31:07+00:00
7,24.4,89.2,3.7,0.8,61.4,66.9,,15,702,45,113,154,210,4,4,,,,,484,169027,477,115041,160,120122,160,120122,491,175518,503,116757,2025-03-27T00:33:07+00:00
3,23.9,89.2,3.9,0.4,61.4,66.9,,47,582,45,115,126,217,3,4,,,,,766,320824,827,215143,929,1524902,929,1524902,776,330210,855,216991,2025-03-27T00:35:07+00:00
8,23.8,89.2,1.6,0.2,61.5,66.9,,11,486,45,113,211,252,10,4,,,,,59,9049,52,25193,1259,222861,1259,222861,44,7457,62,25853,2025-03-27T00:37:07+00:00
4,23.5,89.2,1.5,0.2,61.5,66.9,,11,486,45,107,143,221,5,2,,,,,60,7006,64,22942,132,120600,132,120600,51,6505,74,23602,2025-03-27T00:39:07+00:00
8,24.1,89.1,3.4,0.2,61.5,66.9,,6,3788,45,122,385,303,33,7,,,,,3104,1459356,3363,667411,1100,634876,1100,634876,3349,1518824,3416,670909,2025-03-27T00:41:07+00:00
11,24.3,89.1,2.9,0.3,61.6,66.9,,61,637,45,135,339,335,20,10,,,,,2227,1055732,2520,482814,1042,1509231,1042,1509231,2341,1093669,2534,483738,2025-03-27T00:43:07+00:00
7,23.5,89.1,0.9,0.2,61.6,66.9,,14,4034,45,110,316,249,23,1,,,,,1121,416983,1221,233161,539,900203,539,900203,1129,432073,1238,234283,2025-03-27T00:45:07+00:00
8,24.2,89.1,1.1,0.2,61.6,66.9,,8,588,45,126,163,269,3,7,,,,,77,16852,78,32876,76,110140,76,110140,69,16655,88,33536,2025-03-27T00:47:07+00:00
3,23.8,89.1,0.9,0.2,61.6,66.9,,12,540,45,107,115,201,1,2,,,,,66,9859,72,28946,80,109680,80,109680,42,5575,81,29540,2025-03-27T00:49:07+00:00
8,24.4,89.1,2.7,0.2,61.7,66.9,,7,601,45,124,296,303,19,7,,,,,2618,1682130,3237,489076,1085,595662,1085,595662,2948,1735770,3259,490592,2025-03-27T00:51:07+00:00
10,24.7,89.1,3.2,0.2,61.8,66.9,,100,1392,45,140,287,332,12,11,,,,,1391,673800,2129,1810091,436,151574,436,151574,1471,694750,2675,1846127,2025-03-27T00:53:07+00:00
9,24.5,89.1,2.8,0.4,61.8,66.9,,16,757,45,116,234,258,12,5,,,,,55,9093,58,25853,268,129352,268,129352,45,8373,68,26513,2025-03-27T00:55:07+00:00
6,24.3,89.1,2.7,0.5,61.8,66.9,,16,756,45,113,149,230,4,4,,,,,65,11030,56,27394,130,124675,130,124675,55,10523,66,28072,2025-03-27T00:57:07+00:00
4,23.7,89.1,2.8,0.3,61.8,66.9,,58,324,45,110,109,211,3,3,,,,,78,13154,76,29453,355,135540,355,135540,68,12829,86,30131,2025-03-27T00:59:07+00:00
5,23.7,89.1,1.5,0.2,61.8,66.9,,8,324,45,117,344,285,22,4,,,,,209,63238,209,61257,1140,316498,1140,316498,162,59276,221,62049,2025-03-27T01:01:07+00:00
11,24,89.1,1.4,0.2,61.9,66.9,,12,4497,45,124,261,301,14,7,,,,,61,9757,62,26353,1231,220208,1231,220208,52,9270,72,27013,2025-03-27T01:03:07+00:00
7,23.7,89.1,1.3,0.2,61.9,66.9,,9,1875,45,118,228,253,12,5,,,,,52,8117,44,24540,293,130319,293,130319,40,7065,54,25200,2025-03-27T01:05:07+00:00
3,23.5,89.1,1.2,0.2,61.9,66.9,,7,270,45,107,144,201,1,2,,,,,37,4040,38,20589,77,109524,77,109524,35,4382,46,21117,2025-03-27T01:07:07+00:00
0,23.4,89.1,0.8,0.2,61.9,66.9,,11,486,45,104,138,186,4,1,,,,,39,3689,33,20027,86,109992,86,109992,31,3185,42,20635,2025-03-27T01:09:07+00:00
3,23.7,89.1,1.8,0.2,61.9,66.9,,11,3402,45,110,232,225,12,3,,,,,662,183357,693,182242,591,451086,591,451086,677,193304,713,183562,2025-03-27T01:11:07+00:00
2,23.6,89.1,0.8,0.2,61.9,66.9,,57,270,45,115,182,235,7,4,,,,,44,4377,44,21005,106,114092,106,114092,35,3652,54,21665,2025-03-27T01:13:07+00:00
0,23.5,89.1,0.8,0.2,61.9,66.9,,7,270,45,109,157,203,5,2,,,,,64,7297,63,22788,118,114690,118,114690,47,5538,73,23448,2025-03-27T01:15:07+00:00
0,23.5,89.1,0.8,0.2,62,66.9,,71,324,45,107,169,191,6,2,,,,,91,21976,95,38310,128,116806,128,116806,65,17908,107,39102,2025-03-27T01:17:07+00:00
5,23.7,89.1,1.6,0.2,62,66.9,,1304,1470,45,113,118,208,4,4,,,,,98,19256,103,39345,130,115684,130,115684,74,15420,116,40203,2025-03-27T01:19:07+00:00
1,23.4,89.1,0.8,0.2,62,66.9,,6,216,45,104,165,199,6,1,,,,,44,4332,39,20573,115,114560,115,114560,35,3607,49,21233,2025-03-27T01:21:07+00:00
0,23.4,89.1,0.8,0.2,62,66.9,,94,216,45,104,145,187,3,1,,,,,50,10207,51,26545,120,114820,120,114820,47,10338,63,27337,2025-03-27T01:23:07+00:00
2,23.5,89.1,0.8,0.2,62,66.9,,1883,199,48,111,122,190,3,2,,,,,1050,814095,1051,152444,752,1898134,752,1898134,1036,825665,1060,152994,2025-03-27T01:25:07+00:00
6,24,89.1,1.1,0.2,62,66.9,,63,742,45,120,199,255,10,5,,,,,138,262483,186,281735,632,164461,632,164461,288,273568,283,288137,2025-03-27T01:27:07+00:00
11,23.7,89.1,0.9,0.2,62,66.9,,12,696,45,109,171,231,9,2,,,,,504,198022,565,127386,174,135960,174,135960,520,205160,594,129344,2025-03-27T01:29:07+00:00
6,23.9,89.1,1.2,0.2,62,66.9,,15,692,45,115,245,243,15,4,,,,,4249,3970465,5011,1537043,686,496761,686,496761,5848,4133667,5578,1574509,2025-03-27T01:31:07+00:00
